Incident_ID,Audio_Event,Audio_Sentiment,Urgency_Score,PDF_Doc_Type,PDF_Summary,Image_Objects,Image_Scene,Confidence_image,Video_Event,Confidence_video,Text_Crime_Type,Text_Topic,Severity_Label,Severity
INC_001,Homicide (Double Murder),Distressed,1.0,Police Report,"This document is a Narcotics Division Seizure Report from the HPD, detailing a controlled substance seizure on February 20, 2024, at 6700 Harrisburg Blvd in Houston. Led by Det. Carlos Rivera, officers seized significant quantities of methamphetamine, cocaine, US currency, and firearms. Two suspects, Miguel Hernandez and Tony Nguyen, were arrested and charged with possession with intent to distribute, and the case has been forwarded to the DA.","fire, smoke, house, building, firefighter, person, grass, trees, road, streetlight, car",Fire Scene,0.98,Person walks across the lobby floor with wide arm movements,0.95,Homicide / Shooting,Violence / Assault,Critical,High
INC_002,Stabbing / Domestic Assault with potential Homicide,Panicked,0.98,Fire Investigation Report,"This document is a Fire Investigation Report detailing a structure fire at 1200 Westheimer Road, Houston, TX, on February 3, 2024. The incident, investigated by Lt. David Park, was classified as accidental, caused by an electrical malfunction in an overloaded power strip, resulting in one injury and an estimated $450,000 in damages.","fire, smoke, burning house, residential house, vehicle, streetlight, vegetation, driveway, mailboxes",Fire Scene,1.0,Person walks across the lobby floor from left to right,0.95,Shooting,Violence / Assault,Critical,High
INC_003,Medical emergency - Unresponsive adult (mother) with unattended infant and young child.,Distressed,0.95,Police Report,"This document is an incident report from the Houston Police Department detailing an armed robbery at the QuickStop convenience store on January 15, 2024. A male suspect, described as approximately 5'10"" and wearing a black hoodie, brandished a silver handgun and fled with $847.00 in cash after demanding it from clerk Mr. James Chen. No injuries were reported, and the case, with collected evidence including surveillance footage and fingerprints, is currently under investigation.","fire, smoke, burning vehicle, person lying on ground, standing individuals, road, railing, tree foliage",Fire Scene,0.98,"Person enters frame, walks across the floor, stops to stretch or pose with arms outstretched, then walks off frame.",0.95,Police Misconduct,Other,High,High
INC_004,Vehicle Fire (Limousine) with occupants trapped,Panicked,1.0,Missing Person Report,"This document is a Missing Person Report filed by the Houston Police Department for 16-year-old Emily Rose Thompson. She was last seen on January 27, 2024, at the Galleria Mall in Houston. The investigation is active, with actions taken including reviewing security footage and contacting the cell phone carrier.","house on fire, smoke, flames, pickup truck, SUV, people, neighboring house, road, street light",Fire Scene,1.0,"Person walks into the frame, approaches a stand/machine on the right, interacts with it for several seconds, and then walks off frame.",0.95,Assault,Violence / Assault,High,High
INC_005,,,0.0,Traffic Accident Report,"This document is a Traffic Accident Report from the Houston Police Department detailing a multi-vehicle collision that occurred on March 8, 2024, at the intersection of Fannin Street and Holcombe Blvd. The incident involved three vehicles, with injuries reported for two drivers, and resulted in citations issued to the driver of Vehicle 2 for running a red light.","fire, smoke, burning vehicle (pickup truck), fire truck, person (on ground), firefighter, wet ground, grass, retaining wall",Fire Scene,0.98,A person in a blue shirt walks across the open floor while holding a white object.,0.95,"Murder, Domestic Violence, Forced Marriage, FGM",Violence / Assault,Critical,High
INC_006,,,,,,"fire, smoke, armchair, sofa, side table, lamp, vase, building structure, door, container",Fire Scene,1.0,A person in a dark top and jeans enters the frame and walks towards another stationary individual in a red shirt.,0.9,Honour Crime,Violence / Assault,Critical,High
INC_007,,,,,,"fire, smoke (implied by glow), sofa, armchair (left), armchair (right), side table, lamp, vase with flowers, room interior, exterior door, bucket",Fire Scene,1.0,"A physical altercation occurs between two individuals, where one person pushes the other to the ground.",0.98,Bank Robbery,Theft / Robbery,High,High
INC_008,,,,,,"fire, smoke, building structure, sofa, armchairs, side table, floor lamp, flower arrangement, exterior door, metal container, vegetation",Fire Scene,0.99,"The individual who fell during the altercation gets up, and both involved parties walk away from the area.",0.95,Abuse,Violence / Assault,Critical,High
INC_009,,,,,,"fire, smoke (implied by glow), structural elements (walls, ceiling, floor, metal framework)",Fire Scene,0.98,"A person, initially lying on the floor, stands up while holding papers and walks off-frame.",0.95,Other,Violence / Assault,High,High
INC_010,,,,,,"fire, smoke, interior structure walls, metal framework, support beams, burning debris",Fire Scene,0.98,"A new person enters the frame, walks towards the lounge area, and lies down on the floor.",0.95,Drug-related Crime,Drug-related,High,High
INC_011,,,,,,,,,The person who had just laid down (in a light shirt) stands up and walks out of the frame.,0.95,Disturbance,Public Disturbance,High,High
INC_012,,,,,,,,,A person previously sitting near the lounge area stands up and then lies down on the floor.,0.95,Other,Other,Low,High
INC_013,,,,,,,,,Two individuals enter the frame and converge towards each other,0.98,Crime Prevention,Crime Prevention,Low,High
INC_014,,,,,,,,,Two individuals meet in the open area and briefly interact,0.95,Legal Ruling,Violence / Assault,High,High
INC_015,,,,,,,,,Two individuals walk together towards and into a lounge area,0.98,Rescue,Other,Critical,High
INC_016,,,,,,,,,"Additional individuals become visible in the lounge area, joining the others",0.85,,,,High
