Image_ID,Scene_Type,Objects_Detected,Bounding_Boxes,Confidence
IMG_001,Fire Scene,"fire, smoke, house, building, firefighter, person, grass, trees, road, streetlight, car","Large fire region on central-left house, dense smoke plume top-center, central-left house, adjacent house right-center, 1 firefighter bottom-center, 1 person far-left, road foreground, streetlight right-of-center, red car in adjacent house garage.",0.98
IMG_002,Fire Scene,"fire, smoke, burning house, residential house, vehicle, streetlight, vegetation, driveway, mailboxes","1 burning house center-left, 2 fire regions center-right within the burning house, 1 large smoke plume top-center, 1 residential house right side, 1 vehicle right-center, 1 streetlight mid-right, 2 mailboxes lower-right",1.0
IMG_003,Fire Scene,"fire, smoke, burning vehicle, person lying on ground, standing individuals, road, railing, tree foliage","extensive fire on front/left side of vehicle (center-right), large black smoke plume rising from vehicle (top-center to center-right), one dark-colored vehicle (center-right) with driver's door open, one person lying motionless on ground (center-left), four standing individuals (upper-left to mid-left), asphalt road surface (lower half), metal railing (lower-left), green tree foliage (far right), AP logo (top-left)",0.98
IMG_004,Fire Scene,"house on fire, smoke, flames, pickup truck, SUV, people, neighboring house, road, street light","1 house on fire (center-left), multiple fire regions (center-right of central house), 1 large smoke plume (above central house), 1 black pickup truck (lower-left), 1 person (next to pickup truck, lower-left), 1 dark SUV (mid-right, on road), 1 partially visible person (behind dark SUV, mid-right), 1 neighboring house (right), 1 street light (mid-right), road (foreground)",1.0
IMG_005,Fire Scene,"fire, smoke, burning vehicle (pickup truck), fire truck, person (on ground), firefighter, wet ground, grass, retaining wall","large fire region center-left, smoke plume top-center, burning vehicle center-left, fire truck center-right, person (blue suit) bottom-center, firefighter (partially obscured) left of fire truck, wet ground/puddles bottom-center to bottom-right, grassland foreground and background, retaining wall mid-right",0.98
IMG_006,Fire Scene,"fire, smoke, armchair, sofa, side table, lamp, vase, building structure, door, container","1 large fire region (lower-right inside room), smoke/glow (room interior), 1 armchair (lower-left inside room), 1 sofa (center inside room), 1 side table (bottom-center inside room), 1 lamp (upper-left inside room), 1 vase (center inside room), 1 door (right exterior), 1 container (lower-right exterior)",1.0
IMG_007,Fire Scene,"fire, smoke (implied by glow), sofa, armchair (left), armchair (right), side table, lamp, vase with flowers, room interior, exterior door, bucket","1 large fire region center-right, 1 sofa center-background, 1 armchair front-left, 1 armchair front-right, 1 side table center-middle, 1 lamp back-left, 1 vase with flowers on table, 1 room interior visible through opening, 1 exterior door far-right, 1 bucket bottom-right",1.0
IMG_008,Fire Scene,"fire, smoke, building structure, sofa, armchairs, side table, floor lamp, flower arrangement, exterior door, metal container, vegetation","1 fire region in the right interior, 1 sofa in center interior, 2 armchairs (one on left, one on right), 1 side table in center interior, 1 floor lamp in left interior, 1 building structure with open front, 1 exterior door on right, 1 metal container lower right, vegetation on far left",0.99
IMG_009,Fire Scene,"fire, smoke (implied by glow), structural elements (walls, ceiling, floor, metal framework)","1 large fire region spanning center-bottom to center-top; structural elements visible on left wall, right wall, ceiling, and floor; metal framework enclosing fire in center-mid area.",0.98
IMG_010,Fire Scene,"fire, smoke, interior structure walls, metal framework, support beams, burning debris","Large fire region center-mid, smoke plume directly above fire, structural walls left and right side, metal framework surrounding fire, two vertical support beams left-center, burning debris at base of fire",0.98
